scenario,world_seed,agent_seed,strategy,n_channels,n_slots,slot_duration_s,total_scans,total_detections,true_positive_scans,false_positive_scans,on_target_scans,redundant_scans,n_activity_intervals,n_detected_intervals,n_missed_intervals,n_missed_never_scanned,n_missed_detector,n_censored_intervals,detection_rate,missed_detection_rate,on_target_scan_rate,scan_efficiency,redundant_scan_rate,mean_detection_delay_slots,median_detection_delay_slots,max_detection_delay_slots,time_to_first_detection_slots,emerging_discovery_delay_slots,emerging_discovery_censored,channels_covered,channel_coverage,coverage_time_slots,mean_decision_latency_ms,mean_detection_delay_s,time_to_first_detection_s,emerging_discovery_delay_s
normal,20,20,sequential,12,800,0.1,800,90,73,17,74,0,57,38,19,19,0,0,0.6666666666666666,0.3333333333333333,0.0925,0.09125,0.0,3.5789473684210527,4.0,11.0,5.0,,False,12,1.0,11,0.001415250553691294,0.35789473684210527,0.5,
normal,20,20,random,12,800,0.1,800,83,67,16,68,248,57,26,31,30,1,0,0.45614035087719296,0.543859649122807,0.085,0.08375,0.31,7.538461538461538,5.0,21.0,6.0,,False,12,1.0,31,0.015433124826813582,0.7538461538461538,0.6000000000000001,
normal,20,20,heuristic,12,800,0.1,800,314,304,10,311,308,57,17,40,40,0,0,0.2982456140350877,0.7017543859649122,0.38875,0.38,0.385,1.8235294117647058,0.0,17.0,6.0,,False,12,1.0,14,0.025840249472821597,0.1823529411764706,0.6000000000000001,
normal,20,20,adaptive,12,800,0.1,800,361,356,5,361,104,57,25,32,31,1,0,0.43859649122807015,0.5614035087719298,0.45125,0.445,0.13,3.36,2.0,15.0,5.0,,False,12,1.0,11,5.839062625054794,0.336,0.5,
normal,21,21,sequential,12,800,0.1,800,83,71,12,76,0,67,35,32,29,3,0,0.5223880597014925,0.47761194029850745,0.095,0.08875,0.0,3.5714285714285716,3.0,11.0,2.0,,False,12,1.0,11,0.0014923751223250292,0.3571428571428572,0.2,
normal,21,21,random,12,800,0.1,800,79,63,16,64,230,67,29,38,38,0,0,0.43283582089552236,0.5671641791044776,0.08,0.07875,0.2875,5.586206896551724,3.0,29.0,4.0,,False,12,1.0,42,0.016545374637644272,0.5586206896551724,0.4,
normal,21,21,heuristic,12,800,0.1,800,421,415,6,426,210,67,16,51,50,1,0,0.23880597014925373,0.7611940298507462,0.5325,0.51875,0.2625,1.1875,0.5,8.0,2.0,,False,12,1.0,11,0.026846499567909632,0.11875000000000001,0.2,
normal,21,21,adaptive,12,800,0.1,800,375,371,4,384,82,67,24,43,42,1,0,0.3582089552238806,0.6417910447761194,0.48,0.46375,0.1025,2.9583333333333335,2.0,13.0,2.0,,False,12,1.0,11,5.66634287519264,0.29583333333333334,0.2,
normal,22,22,sequential,12,800,0.1,800,95,69,26,71,0,65,44,21,20,1,0,0.676923076923077,0.3230769230769231,0.08875,0.08625,0.0,3.977272727272727,4.0,11.0,5.0,,False,12,1.0,11,0.0014493748676613905,0.3977272727272727,0.5,
normal,22,22,random,12,800,0.1,800,60,45,15,48,247,65,26,39,38,1,0,0.4,0.6,0.06,0.05625,0.30875,7.038461538461538,5.0,23.0,9.0,,False,12,1.0,49,0.014472749935521279,0.7038461538461539,0.9,
