metric,strategy_a,strategy_b,n,mean_a,mean_b,mean_diff,cohen_d,t_statistic,t_pvalue,wilcoxon_statistic,wilcoxon_pvalue,significant_0_05,note,scenario
detection_rate,random,adaptive,30,0.5560898294992735,0.4057594361566549,-0.1503303933426187,-3.8362367925788345,-21.01193427226694,4.2907621529481028e-19,0.0,1.862645149230957e-09,True,,high_activity
mean_detection_delay_slots,random,adaptive,30,6.235116925047462,11.31847346845266,5.0833565434052,4.561381702055355,24.983716516070267,3.655494837459936e-21,0.0,1.862645149230957e-09,True,,high_activity
scan_efficiency,random,adaptive,30,0.37708333333333327,0.7134166666666667,0.3363333333333333,22.294811110189972,122.11370960367844,6.978471668233758e-41,0.0,1.7289484360195754e-06,True,,high_activity
on_target_scan_rate,random,adaptive,30,0.38858333333333334,0.7347083333333333,0.34612500000000007,25.868806302088803,141.68928747385837,9.423204519556645e-43,0.0,1.726772765612998e-06,True,,high_activity
redundant_scan_rate,random,adaptive,30,0.18733333333333332,0.0011666666666666665,-0.1861666666666667,-13.000621787188209,-71.20733814436109,4.109562071108537e-34,0.0,1.7278603148724103e-06,True,,high_activity
detection_rate,heuristic,adaptive,30,0.2034841090480653,0.4057594361566549,0.2022753271085895,5.6728641214019,31.071556449535457,8.182308972333522e-24,0.0,1.7333066441991056e-06,True,,high_activity
mean_detection_delay_slots,heuristic,adaptive,30,10.914125128097652,11.31847346845266,0.40434834035501255,0.14902552543370143,0.8162464192409812,0.4210137231637986,182.0,0.308520769700408,False,,high_activity
scan_efficiency,heuristic,adaptive,30,0.799125,0.7134166666666667,-0.08570833333333332,-2.6491409589633323,-14.509942612350848,7.887512649410009e-15,0.0,1.726772765612998e-06,True,,high_activity
on_target_scan_rate,heuristic,adaptive,30,0.8234583333333333,0.7347083333333333,-0.08874999999999998,-2.6398260313573347,-14.458922652637522,8.631534362722512e-15,0.0,1.7278603148724103e-06,True,,high_activity
redundant_scan_rate,heuristic,adaptive,30,0.037083333333333336,0.0011666666666666665,-0.035916666666666666,-2.392192322147861,-13.102576967310487,1.040141906133975e-13,0.0,1.7245993818153558e-06,True,,high_activity
detection_rate,sequential,adaptive,30,0.3993216088027982,0.39252608219391544,-0.006795526608882723,-0.11012731837252011,-0.6031921647018238,0.5510697067693104,179.5,0.5924530715240979,False,,high_noise
mean_detection_delay_slots,sequential,adaptive,30,6.9804847010579145,5.508605721975287,-1.4718789790826277,-0.9163887285326102,-5.019267780607886,2.4043434560516654e-05,53.0,7.910653948783875e-05,True,,high_noise
scan_efficiency,sequential,adaptive,30,0.04733333333333334,0.14204166666666668,0.09470833333333335,2.679948184316434,14.678680734951238,5.864275161410152e-15,0.0,1.726772765612998e-06,True,,high_noise
on_target_scan_rate,sequential,adaptive,30,0.08504166666666665,0.23825,0.15320833333333334,3.004246568725672,16.454936139985445,3.013371249405234e-16,0.0,1.7333066441991056e-06,True,,high_noise
redundant_scan_rate,sequential,adaptive,30,0.0,0.023125000000000003,0.023125000000000003,4.329500011477794,23.713648190052634,1.5500970315993736e-20,0.0,1.6848019127233959e-06,True,,high_noise
detection_rate,random,adaptive,30,0.30937671251985926,0.39252608219391544,0.08314936967405617,1.090607547078083,5.9735035492004345,1.7129307544417922e-06,10.0,2.6277883435439104e-05,True,,high_noise
mean_detection_delay_slots,random,adaptive,30,7.675982378732379,5.508605721975287,-2.167376656757092,-1.0196896471286778,-5.585070213868597,4.998923110828748e-06,29.0,3.2391399145126343e-06,True,,high_noise
scan_efficiency,random,adaptive,30,0.042708333333333334,0.14204166666666668,0.09933333333333333,2.8070634525556057,15.374919733130376,1.7738271113595568e-15,0.0,1.7333066441991056e-06,True,,high_noise
on_target_scan_rate,random,adaptive,30,0.07341666666666666,0.23825,0.1648333333333333,2.997571293327355,16.41837415085327,3.1947691994045873e-16,0.0,1.732216233144114e-06,True,,high_noise
redundant_scan_rate,random,adaptive,30,0.24120833333333333,0.023125000000000003,-0.21808333333333332,-14.908570440970808,-81.65760330674452,7.89622752672938e-36,0.0,1.7278603148724103e-06,True,,high_noise
detection_rate,heuristic,adaptive,30,0.24914942331167636,0.39252608219391544,0.14337665888223908,1.250166349995304,6.847443105263264,1.605327972181274e-07,0.0,2.5630832507250074e-06,True,,high_noise
mean_detection_delay_slots,heuristic,adaptive,29,3.283971148751309,5.508263901404832,2.224292752653522,0.4869050787521113,2.6220640945109244,0.0139755091894128,57.0,0.00024197623133659363,True,,high_noise
